student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,saw_score
13026,18,1.0,0.0,7.87,98.7,1.0,4.9,2.0,4.0,2.0,2.0,81.6,0.9022188693638129
4522,22,0.0,3.0,7.56,94.9,1.0,9.9,2.0,2.0,2.0,0.0,70.0,0.9010154328881703
11057,18,0.0,6.0,7.35,91.7,1.0,8.6,1.0,4.0,2.0,1.0,95.9,0.9009526819415119
3309,17,2.0,2.0,7.9,96.3,1.0,7.0,1.0,3.0,2.0,1.0,100.0,0.9005116369237611
1566,20,1.0,6.0,7.81,85.0,0.0,8.4,2.0,3.0,1.0,0.0,90.6,0.8994595419867104
7775,17,0.0,6.0,7.91,58.0,1.0,9.1,2.0,4.0,2.0,2.0,81.0,0.8987029416489727
5690,18,1.0,4.0,7.28,92.2,1.0,9.4,2.0,3.0,2.0,2.0,100.0,0.8982226191709073
7284,17,2.0,6.0,7.6,91.2,1.0,9.8,2.0,3.0,0.0,2.0,87.1,0.8981938528034514
4639,21,0.0,4.0,7.69,81.4,1.0,9.2,2.0,4.0,1.0,0.0,88.5,0.8968397225165947
5027,19,1.0,5.0,7.3,97.4,0.0,5.2,2.0,4.0,2.0,0.0,77.1,0.896527257630652
10861,17,1.0,5.0,7.08,94.0,1.0,7.2,2.0,3.0,2.0,0.0,94.0,0.8959164598894577
3338,17,0.0,1.0,7.31,89.9,1.0,8.1,2.0,4.0,2.0,1.0,69.4,0.8952461032116956
8657,20,2.0,3.0,7.87,94.1,1.0,5.7,2.0,4.0,1.0,1.0,72.0,0.8950503467986591
6369,17,1.0,5.0,7.86,80.9,1.0,7.7,2.0,2.0,2.0,2.0,82.1,0.8946640245351689
1978,19,1.0,3.0,7.87,96.8,1.0,9.1,2.0,3.0,0.0,2.0,100.0,0.8940578567600626
9029,21,2.0,5.0,7.68,84.7,1.0,9.9,1.0,3.0,2.0,0.0,90.4,0.8924604369529116
15533,23,1.0,5.0,7.91,99.3,1.0,6.4,2.0,2.0,2.0,2.0,98.1,0.892234920880361
14157,20,2.0,0.0,7.58,98.4,0.0,6.0,2.0,4.0,2.0,0.0,79.7,0.8912838651640429
10986,18,2.0,6.0,6.96,95.8,1.0,6.3,2.0,4.0,2.0,1.0,73.4,0.8909620681256433
16219,19,0.0,6.0,7.3,96.5,1.0,6.6,2.0,2.0,2.0,0.0,89.3,0.8907759802983172
1923,23,2.0,1.0,7.66,97.7,1.0,7.5,2.0,3.0,2.0,0.0,84.0,0.8906952115994489
16381,18,2.0,5.0,7.79,94.4,1.0,4.1,2.0,4.0,1.0,2.0,81.7,0.8901219877089623
3550,22,1.0,3.0,7.6,80.1,0.0,9.1,2.0,4.0,2.0,0.0,76.9,0.8894594326777632
8489,21,2.0,4.0,7.59,83.1,1.0,9.5,2.0,4.0,1.0,1.0,68.3,0.8888913317784057
12867,21,2.0,5.0,7.91,94.1,1.0,9.7,2.0,0.0,1.0,0.0,92.8,0.8888653917317582
19568,18,1.0,2.0,7.37,73.9,1.0,9.6,2.0,4.0,2.0,0.0,76.5,0.8887505854991663
12097,19,1.0,6.0,7.88,94.4,0.0,8.5,1.0,2.0,1.0,0.0,91.5,0.8879278472032713
19520,18,0.0,6.0,7.83,83.6,1.0,9.2,2.0,3.0,0.0,2.0,90.0,0.8878788529346663
19582,18,1.0,0.0,7.91,74.9,1.0,8.1,2.0,3.0,2.0,0.0,94.4,0.8871929893369065
14669,21,0.0,3.0,7.91,88.1,1.0,6.4,1.0,4.0,2.0,0.0,80.1,0.8870784532183611
7589,17,1.0,1.0,7.48,73.5,0.0,9.5,2.0,4.0,2.0,0.0,63.3,0.8870412869130051
18990,17,2.0,4.0,7.79,72.5,1.0,8.2,2.0,3.0,2.0,2.0,98.0,0.887012756195107
14312,22,0.0,6.0,7.62,93.5,0.0,8.8,2.0,2.0,2.0,2.0,100.0,0.8869156170191572
19180,18,0.0,0.0,7.72,74.0,1.0,8.9,2.0,4.0,2.0,1.0,88.1,0.8867632451253293
1179,19,2.0,4.0,7.88,96.7,1.0,9.9,2.0,1.0,0.0,1.0,100.0,0.8862575560963606
2007,20,1.0,3.0,7.91,63.7,1.0,9.8,2.0,3.0,2.0,0.0,68.6,0.8859241791670003
4560,22,0.0,6.0,7.91,83.8,1.0,9.8,2.0,3.0,0.0,1.0,98.9,0.8859083106967828
3894,18,1.0,6.0,7.4,82.1,1.0,8.1,2.0,3.0,2.0,2.0,69.6,0.8858744208339746
8789,17,2.0,0.0,7.91,76.5,1.0,9.3,2.0,4.0,1.0,2.0,79.0,0.8857654111904196
12260,17,0.0,3.0,7.77,70.1,0.0,9.9,2.0,2.0,2.0,0.0,96.2,0.8847328355324889
8847,18,1.0,3.0,7.62,96.3,1.0,8.0,1.0,3.0,2.0,2.0,97.5,0.8842944711981469
3851,22,2.0,5.0,7.91,98.6,0.0,8.0,2.0,2.0,1.0,2.0,90.2,0.8842567932724399
1456,17,0.0,0.0,7.26,91.9,1.0,8.5,2.0,4.0,1.0,0.0,85.7,0.8831060615665782
3587,20,2.0,3.0,7.18,94.9,1.0,8.3,2.0,4.0,1.0,0.0,94.1,0.883080491254081
12744,17,0.0,2.0,7.36,81.3,1.0,9.2,2.0,3.0,2.0,1.0,100.0,0.8825281881394933
3415,21,0.0,4.0,7.47,93.7,1.0,8.0,2.0,4.0,1.0,2.0,72.1,0.881574467038232
9608,20,1.0,0.0,7.78,83.4,1.0,9.4,2.0,3.0,2.0,2.0,92.5,0.8814042846778101
14159,19,1.0,6.0,7.82,90.9,1.0,4.9,2.0,4.0,0.0,1.0,100.0,0.8813606648858258
13238,18,0.0,5.0,7.53,83.7,1.0,8.5,2.0,2.0,2.0,2.0,91.5,0.8812563286435885
19007,18,2.0,2.0,7.44,95.0,1.0,4.9,2.0,3.0,2.0,0.0,90.3,0.8800144876510239
19706,19,0.0,0.0,7.53,76.6,1.0,8.5,2.0,4.0,2.0,0.0,78.9,0.8790704881952711
8936,22,1.0,6.0,7.88,90.5,1.0,8.9,1.0,2.0,2.0,2.0,100.0,0.8789781214146193
16777,21,0.0,3.0,7.22,98.7,1.0,9.7,1.0,3.0,2.0,0.0,97.2,0.8784331091795445
4219,21,1.0,6.0,7.37,87.6,1.0,9.1,1.0,3.0,2.0,0.0,98.7,0.8772285465019247
7058,23,0.0,4.0,7.85,87.0,1.0,9.9,1.0,3.0,2.0,2.0,91.1,0.8771947199274434
3793,19,0.0,2.0,7.82,97.2,1.0,9.8,1.0,0.0,2.0,0.0,97.4,0.8767905392019567
4602,24,1.0,5.0,7.7,96.9,0.0,9.1,2.0,4.0,0.0,2.0,100.0,0.8765427648819968
8105,18,0.0,2.0,7.62,74.3,1.0,9.5,2.0,2.0,2.0,0.0,86.2,0.8764643334794353
14353,19,0.0,4.0,7.33,92.2,1.0,6.9,2.0,2.0,2.0,0.0,100.0,0.8763669484586452
9650,20,0.0,6.0,7.71,85.6,1.0,8.0,1.0,2.0,2.0,0.0,82.6,0.8763661170998165
9751,19,1.0,5.0,7.91,90.3,1.0,7.9,2.0,0.0,1.0,0.0,91.3,0.8763189091168057
14736,23,1.0,6.0,7.88,93.5,1.0,6.5,2.0,4.0,0.0,2.0,73.5,0.8761704653435751
14738,24,0.0,3.0,7.4,90.5,1.0,7.9,2.0,4.0,2.0,1.0,75.8,0.8759992277547514
540,17,1.0,0.0,7.72,80.1,1.0,9.6,1.0,4.0,2.0,2.0,91.9,0.8759805006491116
9511,18,0.0,4.0,7.76,90.2,1.0,9.0,2.0,0.0,1.0,0.0,84.6,0.875780151538179
14528,17,0.0,1.0,7.86,93.9,1.0,5.0,2.0,2.0,2.0,2.0,96.5,0.87569549238031
585,20,0.0,3.0,7.91,71.0,1.0,8.7,2.0,3.0,2.0,2.0,73.8,0.8756118086062633
1930,24,0.0,5.0,7.91,95.9,1.0,9.4,1.0,3.0,1.0,2.0,100.0,0.8756107805117204
4155,18,1.0,4.0,7.32,90.7,1.0,9.9,2.0,0.0,2.0,0.0,91.9,0.8754124205060204
3005,22,2.0,1.0,7.86,99.4,1.0,6.8,2.0,4.0,0.0,1.0,92.3,0.8748970874320522
8002,22,0.0,5.0,7.91,98.2,0.0,9.9,2.0,1.0,0.0,1.0,82.9,0.8746855956027807
13996,20,2.0,5.0,7.65,92.5,1.0,8.7,0.0,3.0,2.0,0.0,89.3,0.8745314386700648
9835,17,1.0,5.0,7.42,92.1,1.0,7.4,1.0,3.0,2.0,2.0,94.5,0.8742334999677741
9611,24,1.0,5.0,7.63,92.8,1.0,4.2,2.0,4.0,2.0,1.0,80.3,0.8740336716861924
17524,17,1.0,4.0,7.77,69.0,1.0,8.0,2.0,3.0,1.0,0.0,75.6,0.8739045361995946
8345,19,2.0,5.0,7.9,71.3,1.0,8.8,1.0,3.0,2.0,1.0,100.0,0.8735874074039212
4962,21,2.0,6.0,7.72,82.3,1.0,8.7,1.0,4.0,1.0,1.0,82.9,0.8733732478791452
5570,18,0.0,0.0,7.2,90.4,1.0,9.6,2.0,4.0,1.0,1.0,76.2,0.8732846544724273
4221,17,2.0,3.0,7.77,73.8,1.0,8.6,2.0,2.0,2.0,2.0,100.0,0.8724712628351036
1860,22,0.0,2.0,7.55,80.4,1.0,9.0,2.0,4.0,2.0,2.0,99.6,0.8724167562817904
18418,18,1.0,4.0,7.84,87.7,1.0,9.0,0.0,4.0,1.0,1.0,79.8,0.8722676891335022
3886,20,1.0,0.0,7.69,96.1,1.0,7.5,1.0,4.0,2.0,2.0,97.9,0.8721418473826466
7919,17,2.0,5.0,7.71,97.0,1.0,9.9,0.0,2.0,1.0,1.0,100.0,0.8721045550214831
14839,18,2.0,6.0,7.73,96.3,0.0,6.3,1.0,2.0,2.0,2.0,100.0,0.8720677097123924
13212,17,1.0,5.0,7.5,65.4,1.0,9.9,2.0,3.0,1.0,0.0,64.2,0.8715027901347017
8668,20,1.0,1.0,7.45,95.6,1.0,8.2,2.0,4.0,0.0,0.0,96.7,0.8713638219405028
3011,19,1.0,2.0,6.97,92.8,0.0,9.3,2.0,4.0,2.0,2.0,77.3,0.8709130302932595
4396,21,1.0,2.0,7.71,95.3,1.0,8.9,1.0,4.0,1.0,2.0,78.1,0.8707746602574158
2420,20,1.0,2.0,7.26,84.2,1.0,9.3,2.0,4.0,1.0,0.0,63.0,0.8706916045737452
13569,21,0.0,3.0,6.91,90.6,1.0,8.2,2.0,4.0,2.0,0.0,69.9,0.8706550763490343
5586,22,0.0,2.0,7.61,92.6,1.0,9.8,2.0,3.0,0.0,0.0,100.0,0.8705164160745424
15272,17,0.0,6.0,7.66,90.7,0.0,4.1,2.0,1.0,2.0,0.0,83.2,0.8703577709344978
238,20,0.0,0.0,7.9,73.4,1.0,7.8,2.0,4.0,2.0,2.0,89.0,0.8700500390036229
17560,18,1.0,5.0,7.85,86.7,1.0,5.2,2.0,4.0,0.0,2.0,81.8,0.8698869694432592
19955,22,2.0,1.0,7.84,96.2,1.0,9.6,1.0,3.0,1.0,1.0,84.8,0.8698828447697976
4592,17,2.0,3.0,7.28,83.3,1.0,8.5,2.0,3.0,1.0,0.0,69.3,0.8697783562521447
9102,17,1.0,2.0,7.61,96.6,1.0,4.9,2.0,2.0,2.0,2.0,83.0,0.8697346728947882
9030,17,0.0,5.0,7.56,82.8,0.0,8.4,2.0,4.0,0.0,2.0,84.4,0.8696993976149353
11298,20,0.0,3.0,7.38,96.2,1.0,4.5,2.0,4.0,2.0,2.0,55.7,0.8693737862552428
10436,17,2.0,4.0,7.88,99.1,1.0,4.3,1.0,4.0,0.0,1.0,91.0,0.8693045970317669
2211,22,1.0,5.0,7.72,95.6,0.0,5.7,1.0,3.0,2.0,0.0,78.9,0.8687510769439388
11493,17,0.0,5.0,7.63,79.9,1.0,6.2,2.0,3.0,1.0,1.0,70.4,0.8686602341253606
2910,19,2.0,6.0,7.84,94.0,0.0,9.1,1.0,1.0,1.0,1.0,93.6,0.8683271761864546
9024,21,2.0,4.0,7.82,78.8,1.0,4.9,2.0,3.0,2.0,0.0,92.1,0.8681956406471508
3831,24,2.0,4.0,7.71,98.1,1.0,9.1,2.0,2.0,0.0,0.0,91.6,0.8680922113251948
10334,19,1.0,5.0,7.65,61.9,1.0,7.4,2.0,4.0,2.0,1.0,73.2,0.8678970362649195
9358,17,1.0,1.0,7.87,96.9,1.0,7.0,2.0,0.0,1.0,0.0,86.1,0.8677446741674286
749,19,1.0,4.0,7.91,69.8,1.0,9.0,2.0,3.0,1.0,2.0,72.0,0.8676188894602891
16470,24,0.0,5.0,7.78,71.7,1.0,8.4,2.0,4.0,1.0,0.0,79.0,0.8673919076717594
190,19,2.0,1.0,7.7,65.0,1.0,9.5,2.0,3.0,2.0,0.0,73.1,0.867224241795282
4098,18,0.0,5.0,7.42,94.3,1.0,5.1,2.0,1.0,2.0,0.0,95.5,0.8671611223999656
14712,20,2.0,3.0,7.75,92.3,1.0,9.8,0.0,4.0,1.0,1.0,86.0,0.8670120274196633
8815,20,2.0,0.0,7.54,94.0,1.0,9.2,1.0,3.0,2.0,1.0,94.3,0.8667527232044149
15627,21,0.0,3.0,7.71,99.4,1.0,7.6,0.0,3.0,2.0,0.0,76.8,0.866685205087541
4642,17,0.0,5.0,6.75,93.4,1.0,7.7,2.0,4.0,1.0,1.0,65.9,0.8663188577048753
9750,21,0.0,6.0,7.65,97.1,1.0,6.6,2.0,3.0,0.0,2.0,100.0,0.8656661969574617
19868,18,1.0,5.0,7.91,84.1,1.0,8.1,0.0,2.0,2.0,0.0,100.0,0.8656014768196174
8715,21,0.0,6.0,7.91,86.4,1.0,4.9,2.0,3.0,1.0,2.0,86.3,0.8654369572739311
110,22,2.0,5.0,7.77,93.1,1.0,7.1,2.0,1.0,1.0,0.0,74.3,0.8651584582832269
18217,19,0.0,5.0,7.75,60.2,1.0,7.4,2.0,3.0,2.0,0.0,77.6,0.864486925164015
6638,17,2.0,2.0,7.33,93.7,1.0,7.0,2.0,2.0,2.0,2.0,79.7,0.8644660628835517
13677,19,0.0,0.0,7.69,86.5,1.0,8.4,2.0,2.0,2.0,2.0,88.0,0.8643851295142421
17222,18,0.0,2.0,7.6,77.7,1.0,9.2,2.0,2.0,2.0,2.0,94.5,0.8641777488607639
12323,17,1.0,1.0,7.22,89.4,0.0,8.9,2.0,3.0,1.0,0.0,73.1,0.8639232352205544
6701,24,1.0,2.0,7.57,79.5,1.0,9.2,2.0,4.0,2.0,2.0,84.5,0.8636611996557744
3744,20,0.0,6.0,7.63,86.5,1.0,8.3,0.0,3.0,2.0,0.0,80.8,0.863660730578566
3602,21,2.0,3.0,7.52,84.1,1.0,9.8,2.0,2.0,1.0,0.0,80.3,0.8634357181197446
251,18,1.0,6.0,7.4,99.0,1.0,5.2,1.0,4.0,1.0,2.0,86.2,0.8633497353260291
17866,18,0.0,4.0,7.64,89.5,1.0,7.8,1.0,1.0,2.0,0.0,91.6,0.8633162992696686
19442,22,0.0,4.0,7.91,93.3,0.0,9.7,1.0,0.0,2.0,0.0,98.9,0.8630208192651243
6886,17,0.0,6.0,7.81,84.5,0.0,5.3,2.0,1.0,2.0,2.0,82.3,0.8629072070719271
15509,24,0.0,1.0,7.63,96.2,1.0,7.0,2.0,2.0,2.0,0.0,100.0,0.8628434035565059
11841,21,1.0,2.0,7.56,94.5,1.0,8.7,1.0,3.0,2.0,2.0,100.0,0.8627910098924578
8044,18,1.0,1.0,7.91,90.6,1.0,5.9,2.0,0.0,2.0,0.0,96.8,0.862344611054616
1178,18,1.0,2.0,7.46,57.6,1.0,9.5,2.0,4.0,2.0,0.0,79.3,0.8622123671204607
8011,21,2.0,6.0,7.0,92.5,1.0,8.6,2.0,4.0,0.0,0.0,91.7,0.8621590819509557
11591,17,2.0,4.0,7.22,93.2,1.0,6.9,2.0,3.0,1.0,2.0,84.4,0.8617723524911916
14871,20,2.0,1.0,7.75,95.4,1.0,7.1,2.0,0.0,2.0,0.0,100.0,0.8617699286236346
1246,24,2.0,4.0,7.91,78.7,1.0,7.8,2.0,2.0,2.0,1.0,78.2,0.8617651952529982
6728,21,2.0,6.0,6.9,93.9,1.0,9.3,1.0,3.0,2.0,0.0,100.0,0.8617287803233685
5788,21,1.0,4.0,7.54,96.9,1.0,5.7,2.0,4.0,0.0,1.0,95.4,0.8616752629175094
5956,22,0.0,0.0,7.88,92.2,1.0,9.3,2.0,2.0,1.0,2.0,73.8,0.8613473506376143
12532,23,1.0,6.0,7.25,81.4,1.0,9.8,2.0,3.0,1.0,0.0,98.0,0.8611906625541526
18383,17,2.0,4.0,7.58,85.7,1.0,8.9,1.0,3.0,1.0,2.0,79.0,0.8608288528093142
6270,22,1.0,3.0,7.91,60.7,1.0,8.8,2.0,4.0,2.0,2.0,80.3,0.8606076659863335
6870,17,2.0,4.0,6.73,96.7,1.0,5.6,2.0,3.0,2.0,0.0,91.5,0.8604899158602664
9396,20,2.0,6.0,7.37,98.3,1.0,6.3,2.0,3.0,0.0,1.0,89.8,0.8604856787450246
1765,21,2.0,6.0,7.26,98.3,1.0,8.9,1.0,2.0,2.0,2.0,97.5,0.8603031612780617
17595,21,2.0,4.0,7.41,99.4,1.0,7.0,2.0,2.0,1.0,1.0,61.6,0.8600586022289521
14045,23,0.0,2.0,7.57,98.0,1.0,8.0,2.0,1.0,2.0,1.0,79.0,0.8598621004243772
386,17,1.0,4.0,7.69,91.5,1.0,6.8,2.0,1.0,1.0,2.0,90.6,0.8591627767703459
18402,18,2.0,3.0,7.91,78.7,0.0,7.3,0.0,4.0,2.0,0.0,93.2,0.8590474091710717
13315,23,0.0,2.0,7.44,93.1,1.0,8.1,1.0,4.0,2.0,1.0,97.9,0.8590007154292643
3304,19,0.0,3.0,7.91,92.8,0.0,9.4,1.0,3.0,0.0,2.0,100.0,0.8588723131497337
3437,19,1.0,2.0,7.62,95.9,1.0,8.7,2.0,1.0,1.0,2.0,80.4,0.8587879765395863
10918,18,0.0,3.0,7.79,81.7,1.0,5.4,1.0,4.0,2.0,2.0,86.6,0.8587707229792382
17632,19,2.0,3.0,7.7,92.7,1.0,6.2,1.0,3.0,1.0,0.0,93.0,0.8587210145864759
15841,21,1.0,1.0,7.13,95.4,1.0,8.6,2.0,2.0,2.0,0.0,85.1,0.8586181153970665
1687,20,2.0,2.0,7.84,90.3,1.0,9.5,0.0,3.0,2.0,2.0,96.7,0.8580392507336023
821,17,2.0,6.0,7.49,84.3,1.0,8.5,2.0,1.0,1.0,2.0,65.3,0.8577978499393318
14397,19,2.0,3.0,7.74,67.5,0.0,6.3,2.0,4.0,2.0,1.0,85.6,0.8577514422583232
4847,23,1.0,2.0,7.03,88.7,1.0,9.8,2.0,4.0,2.0,2.0,97.5,0.8577309760147319
8074,19,2.0,2.0,7.52,97.5,1.0,6.4,1.0,2.0,2.0,0.0,93.6,0.8577241720707952
10612,22,2.0,5.0,6.93,86.2,1.0,9.9,2.0,4.0,1.0,1.0,93.3,0.8573932686389641
437,21,1.0,1.0,7.8,90.3,1.0,9.5,1.0,2.0,2.0,2.0,96.3,0.8572703702884423
8424,19,0.0,6.0,7.31,90.0,0.0,9.3,0.0,3.0,2.0,0.0,90.1,0.8572203366329104
10936,18,1.0,4.0,7.86,65.7,1.0,7.7,1.0,4.0,2.0,2.0,90.4,0.8571247614355195
5839,19,0.0,6.0,7.55,87.1,1.0,9.7,0.0,4.0,1.0,2.0,91.9,0.8570179399379323
3030,24,1.0,3.0,7.91,99.4,1.0,4.8,2.0,1.0,2.0,1.0,73.0,0.8569885546780187
15377,22,0.0,6.0,7.91,80.4,1.0,5.7,2.0,2.0,1.0,0.0,74.7,0.8568342597266604
15749,20,1.0,3.0,7.66,73.5,1.0,6.1,2.0,4.0,2.0,2.0,67.6,0.8567533082828871
144,20,2.0,6.0,7.69,91.2,1.0,7.4,0.0,4.0,1.0,1.0,69.4,0.8567114418634644
14964,24,1.0,4.0,7.61,68.9,1.0,9.1,2.0,3.0,2.0,0.0,68.3,0.8566495582749569
9221,18,2.0,5.0,7.49,96.8,0.0,8.4,1.0,1.0,2.0,2.0,100.0,0.8566485304020507
13232,18,2.0,2.0,7.53,90.9,1.0,6.0,2.0,4.0,0.0,1.0,93.3,0.8564549190045022
1034,19,1.0,1.0,7.76,97.3,1.0,4.4,2.0,3.0,1.0,2.0,93.4,0.8563678701111103
4945,17,2.0,4.0,7.55,73.5,1.0,6.1,2.0,3.0,2.0,2.0,54.6,0.8562287559082702
8194,21,2.0,6.0,7.2,95.5,0.0,8.3,2.0,4.0,0.0,2.0,67.4,0.8561593956533828
17802,18,2.0,6.0,7.79,66.2,1.0,6.6,1.0,3.0,2.0,0.0,87.4,0.8561223883778172
16736,23,0.0,6.0,7.61,69.8,1.0,9.3,1.0,4.0,2.0,1.0,90.0,0.8561058196080245
4535,17,2.0,1.0,7.85,80.0,1.0,8.1,2.0,2.0,1.0,2.0,97.9,0.856095813713596
12242,17,1.0,6.0,7.34,92.7,0.0,4.2,1.0,4.0,2.0,2.0,84.3,0.855872879679551
11941,19,0.0,1.0,7.81,81.0,1.0,9.5,1.0,4.0,0.0,0.0,98.1,0.8558516978933284
18687,19,0.0,3.0,7.35,77.0,1.0,8.4,2.0,2.0,2.0,0.0,78.5,0.8558235127567336
13331,22,1.0,5.0,7.91,58.3,1.0,5.7,2.0,4.0,2.0,0.0,73.1,0.8553889478884923
19158,17,1.0,2.0,7.48,63.3,1.0,9.7,1.0,4.0,2.0,0.0,75.3,0.8551988709905081
1454,18,2.0,0.0,7.89,57.0,1.0,8.5,2.0,3.0,2.0,0.0,86.6,0.8549534200702411
14370,17,0.0,1.0,7.37,86.2,1.0,6.8,2.0,4.0,1.0,2.0,66.6,0.8548912997849433
5370,19,1.0,3.0,7.91,77.9,0.0,7.6,2.0,4.0,0.0,2.0,83.9,0.8548182514806659
5871,23,1.0,5.0,7.48,95.1,1.0,9.7,1.0,3.0,1.0,2.0,88.9,0.8547963945173748
5560,18,2.0,4.0,7.6,64.9,1.0,8.5,2.0,3.0,1.0,0.0,70.0,0.8546814768680716
4806,23,0.0,4.0,7.45,89.7,1.0,9.4,1.0,2.0,2.0,0.0,97.8,0.8543674769105216
19801,17,2.0,4.0,7.11,78.0,1.0,9.9,1.0,4.0,1.0,0.0,81.5,0.8541337289947973
16791,17,2.0,5.0,7.47,87.4,1.0,7.0,0.0,3.0,2.0,0.0,77.1,0.8540988914527398
18108,23,2.0,6.0,7.91,97.8,1.0,6.5,1.0,3.0,0.0,1.0,100.0,0.8540422736447313
8164,19,1.0,6.0,6.95,99.4,1.0,7.9,1.0,4.0,1.0,2.0,90.8,0.8539137028659872
18016,21,0.0,6.0,7.72,92.3,1.0,4.1,0.0,4.0,2.0,0.0,74.2,0.8538218074066144
8526,19,1.0,4.0,7.89,90.7,1.0,5.5,2.0,0.0,2.0,2.0,73.5,0.8537286720789419
678,17,1.0,4.0,7.55,46.5,1.0,8.5,2.0,4.0,2.0,0.0,71.3,0.8535918530669988
7384,21,2.0,5.0,6.21,93.2,1.0,9.5,2.0,4.0,2.0,0.0,93.1,0.8535710448714029
7054,17,2.0,6.0,7.05,61.6,1.0,7.5,2.0,4.0,2.0,0.0,64.6,0.8535360517903314
17920,21,0.0,3.0,7.06,88.5,1.0,9.9,2.0,4.0,0.0,0.0,88.7,0.8533690575779826
16806,21,1.0,5.0,7.78,73.6,1.0,6.7,2.0,4.0,0.0,0.0,89.5,0.8531341635683981
3898,17,0.0,0.0,7.44,98.0,1.0,9.6,0.0,3.0,2.0,2.0,95.8,0.853134135603402
13978,17,0.0,6.0,7.77,80.7,1.0,7.0,0.0,4.0,1.0,1.0,87.7,0.8530983464092596
10670,19,1.0,6.0,7.04,90.5,1.0,9.9,0.0,3.0,2.0,0.0,93.2,0.8530807476388492
19235,22,1.0,6.0,7.91,83.7,1.0,6.8,2.0,3.0,0.0,2.0,94.0,0.8528441177382887
12774,19,1.0,5.0,7.57,99.3,1.0,9.3,0.0,2.0,1.0,1.0,95.7,0.8527622178838657
15022,21,2.0,6.0,7.58,90.2,1.0,8.0,1.0,3.0,1.0,2.0,79.5,0.8524925450770002
11820,18,0.0,6.0,7.19,66.3,1.0,7.5,2.0,3.0,2.0,0.0,64.8,0.8524097848127331
9105,18,1.0,0.0,7.24,98.7,1.0,4.9,2.0,4.0,1.0,1.0,71.9,0.8519928594073792
16730,21,1.0,6.0,7.28,71.4,1.0,8.8,1.0,4.0,2.0,0.0,77.5,0.8518692755238195
7506,20,2.0,6.0,7.91,78.3,0.0,8.6,1.0,1.0,2.0,1.0,94.6,0.8518164877788423
5199,21,2.0,0.0,7.91,75.8,1.0,9.9,0.0,4.0,2.0,0.0,82.6,0.8513265669184547
16291,22,1.0,0.0,7.71,84.1,1.0,7.9,1.0,4.0,2.0,1.0,90.3,0.8512778878669411
6681,18,2.0,4.0,7.01,96.5,1.0,6.5,2.0,2.0,2.0,2.0,89.7,0.8512508427181193
16865,20,0.0,6.0,7.22,96.1,1.0,6.6,2.0,1.0,2.0,2.0,90.6,0.8511127527034774
690,23,0.0,6.0,7.49,96.5,1.0,7.9,2.0,0.0,2.0,2.0,99.1,0.8508533975118148
